ticket_id,machine,department,dominant_signal_score,maintenance_team,issue,priority,risk_score,dominant_signal,vibration_zscore,pressure_zscore,rotate_zscore,root_cause,solution,status
111,model1_17,comp3,3,Thermal,Elevated thermal instability detected,High,3.32,pressure,0.19,2.38,0.82,Cooling fan malfunction,Inspect hydraulic pressure lines,Open
112,model1_17,comp2,1,Hydraulic,Minor hydraulic pressure fluctuation observed,Low,0.71,vibration,0.25,0.36,0.61,Hydraulic flow instability,Inspect spindle bearing and lubrication system,Open
113,model1_17,comp4,1,Automation,Minor automation instability detected,Low,0.88,vibration,0.12,0.4,0.18,Control signal degradation,Verify shaft balancing and alignment,Open
114,model1_17,comp1,2,Mechanical,High-risk spindle oscillation beyond normal range,Critical,4.53,vibration,1.6,1.66,1.25,Lubrication degradation,Verify shaft balancing and alignment,Open
115,model1_17,comp3,1,Thermal,Minor thermal deviation detected on motor unit,Low,0.82,vibration,0.75,0.49,0.19,Cooling system degradation,Inspect spindle bearing and lubrication system,Open
116,model1_17,comp2,3,Hydraulic,High hydraulic instability detected,High,3.15,pressure,0.48,2.01,0.35,Hydraulic flow instability,Inspect hydraulic pressure lines,Open
117,model1_17,comp1,2,Mechanical,Moderate spindle vibration anomaly detected,Medium,1.8,rotation,0.44,0.39,1.58,Bearing wear,Inspect rotational control subsystem,Open
118,model1_17,comp4,2,Automation,Automation system anomaly detected,Medium,1.94,rotation,0.63,0.11,1.16,Electrical synchronization issue,Check rotational synchronization,Open
119,model1_17,comp3,2,Thermal,Moderate thermal instability observed,Medium,1.87,vibration,1.75,0.39,0.14,Cooling system degradation,Inspect spindle bearing and lubrication system,Open
120,model1_17,comp4,2,Automation,PLC communication instability observed,Medium,1.9,pressure,0.81,1.07,0.5,Electrical synchronization issue,Check valve stability,Open
121,model1_17,comp2,2,Hydraulic,Moderate hydraulic instability observed,Medium,1.65,rotation,0.19,0.16,1.35,Pressure leakage,Inspect rotational control subsystem,Open
122,model1_17,comp1,1,Mechanical,Minor spindle vibration deviation observed,Low,0.65,vibration,0.68,0.35,0.79,Mechanical imbalance,Check rotational stability,Open
123,model3_18,comp4,1,Automation,Minor automation instability detected,Low,0.66,vibration,0.92,0.51,0.5,Control signal degradation,Verify shaft balancing and alignment,Open
124,model3_18,comp1,2,Mechanical,High spindle vibration level identified,High,2.74,vibration,1.19,1.63,0.48,Mechanical imbalance,Inspect spindle bearing and lubrication system,Open
125,model3_18,comp4,1,Automation,Minor automation instability detected,Low,0.83,vibration,0.13,0.43,0.3,Control signal degradation,Inspect spindle bearing and lubrication system,Open
126,model3_18,comp2,2,Hydraulic,Hydraulic pressure anomaly detected,Medium,1.73,rotation,0.39,0.27,1.14,Hydraulic valve degradation,Check rotational synchronization,Open
127,model3_18,comp2,2,Hydraulic,High hydraulic instability detected,High,2.82,pressure,0.1,1.1,1.01,Hydraulic flow instability,Check valve stability,Open
128,model3_18,comp4,2,Automation,Automation system anomaly detected,Medium,1.7,pressure,0.2,1.36,0.95,Electrical synchronization issue,Inspect hydraulic pressure lines,Open
129,model3_18,comp2,2,Hydraulic,Moderate hydraulic instability observed,Medium,1.78,vibration,1.88,0.63,0.24,Pressure leakage,Inspect spindle bearing and lubrication system,Open
130,model3_18,comp4,2,Automation,High-risk automation instability detected,High,2.8,vibration,1.62,1.59,0.63,PLC communication instability,Verify shaft balancing and alignment,Open
131,model3_19,comp1,1,Mechanical,Mechanical instability observed during operation,Medium,1.23,vibration,0.19,0.53,0.64,Lubrication degradation,Check rotational stability,Open
132,model3_19,comp4,4,Automation,Severe PLC communication failure observed on aging equipment,Critical,6.4,vibration,2.79,0.68,2.05,Electrical synchronization issue,Verify shaft balancing and alignment,Open
133,model3_19,comp4,1,Automation,PLC communication instability observed,Medium,1.15,vibration,0.33,0.18,0.84,Control signal degradation,Verify shaft balancing and alignment,Open
134,model3_19,comp4,3,Automation,Critical automation system instability detected on aging equipment,Critical,5.66,pressure,0.7,2.01,2.03,Electrical synchronization issue,Check valve stability,Open
135,model3_19,comp4,1,Automation,Automation system anomaly detected,Medium,1.26,vibration,0.54,0.85,0.46,Electrical synchronization issue,Check rotational stability,Open
136,model3_19,comp4,2,Automation,High-risk automation instability detected on aging equipment,High,3.34,vibration,1.31,1.56,0.05,PLC communication instability,Check rotational stability,Open
137,model3_19,comp1,2,Mechanical,Mechanical instability observed during operation,Medium,2.36,vibration,1.17,0.37,0.96,Mechanical imbalance,Verify shaft balancing and alignment,Open
138,model2_20,comp2,2,Hydraulic,Moderate hydraulic instability observed,Medium,2.31,vibration,1.33,0.02,0.29,Pressure leakage,Inspect spindle bearing and lubrication system,Open
139,model2_20,comp4,3,Automation,Critical PLC instability trend identified on aging equipment,High,3.64,rotation,0.13,0.04,2.05,PLC communication instability,Inspect rotational control subsystem,Open
140,model2_20,comp3,1,Thermal,Motor temperature anomaly detected,Medium,1.34,vibration,0.82,0.04,0.63,Thermal overload,Inspect spindle bearing and lubrication system,Open
141,model2_20,comp2,1,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,1.38,vibration,0.92,0.9,0.34,Hydraulic flow instability,Check rotational stability,Open
142,model2_20,comp3,1,Thermal,Moderate thermal instability observed,Medium,1.37,vibration,0.21,0.15,0.44,Cooling fan malfunction,Check rotational stability,Open
143,model2_20,comp4,1,Automation,PLC communication instability observed,Medium,1.26,vibration,0.45,0.66,0.18,PLC communication instability,Check rotational stability,Open
144,model2_20,comp1,1,Mechanical,Mechanical instability observed during operation,Medium,1.34,vibration,0.56,0.96,0.84,Lubrication degradation,Check rotational stability,Open
145,model2_20,comp4,1,Automation,PLC communication instability observed,Medium,1.38,vibration,0.78,0.79,0.59,Electrical synchronization issue,Verify shaft balancing and alignment,Open
146,model2_20,comp2,2,Hydraulic,Unstable hydraulic behavior identified during operation,Medium,2.43,rotation,0.75,0.63,1.5,Hydraulic flow instability,Verify rotational sensor consistency,Open
147,model2_20,comp3,1,Thermal,Motor temperature anomaly detected,Medium,1.19,vibration,0.86,0.97,0.41,Cooling fan malfunction,Check rotational stability,Open
148,model2_20,comp2,2,Hydraulic,Unstable hydraulic behavior identified during operation,Medium,2.19,pressure,0.03,1.03,0.9,Pressure leakage,Verify hydraulic pump condition,Open
149,model2_20,comp1,1,Mechanical,Mechanical instability observed during operation,Medium,1.26,vibration,0.22,0.59,0.49,Bearing wear,Inspect spindle bearing and lubrication system,Open
150,model2_20,comp4,1,Automation,PLC communication instability observed,Medium,1.44,vibration,0.59,0.15,0.26,Control signal degradation,Verify shaft balancing and alignment,Open
151,model2_21,comp3,1,Thermal,Minor thermal deviation detected on motor unit,Low,0.88,vibration,0.16,0.55,0.55,Thermal overload,Inspect spindle bearing and lubrication system,Open
152,model2_21,comp4,2,Automation,Industrial control synchronization instability observed,High,2.84,vibration,1.22,0.98,1.46,Electrical synchronization issue,Verify shaft balancing and alignment,Open
153,model2_21,comp1,1,Mechanical,Low-level spindle oscillation identified,Low,0.87,vibration,0.96,0.85,0.09,Bearing wear,Inspect spindle bearing and lubrication system,Open
154,model2_21,comp2,2,Hydraulic,Hydraulic pressure anomaly detected,Medium,1.8,vibration,1.34,0.85,0.53,Hydraulic valve degradation,Verify shaft balancing and alignment,Open
155,model2_21,comp4,1,Automation,Minor automation instability detected,Low,0.73,vibration,0.15,0.36,0.52,Control signal degradation,Check rotational stability,Open
156,model2_21,comp3,1,Thermal,Minor thermal deviation detected on motor unit,Low,0.89,vibration,0.57,0.57,0.63,Cooling system degradation,Verify shaft balancing and alignment,Open
157,model2_21,comp4,1,Automation,Minor automation instability detected,Low,0.85,vibration,0.83,0.64,0.09,PLC communication instability,Inspect spindle bearing and lubrication system,Open
158,model2_21,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.75,vibration,0.52,0.64,0.96,Pressure leakage,Check rotational stability,Open
159,model2_21,comp4,4,Automation,Critical automation system instability detected,Critical,4.94,vibration,2.68,0.87,1.27,Electrical synchronization issue,Verify shaft balancing and alignment,Open
160,model2_21,comp2,3,Hydraulic,Critical hydraulic pressure instability detected,Critical,4.2,rotation,1.01,0.39,2.29,Hydraulic flow instability,Inspect rotational control subsystem,Open
161,model2_21,comp3,1,Thermal,Minor thermal deviation detected on motor unit,Low,0.74,vibration,0.77,0.83,0.67,Thermal overload,Inspect spindle bearing and lubrication system,Open
162,model1_22,comp1,5,Mechanical,Severe mechanical instability observed,Critical,5.45,pressure,1.1,4.14,0.44,Mechanical imbalance,Verify hydraulic pump condition,Open
163,model1_22,comp3,2,Thermal,Moderate thermal instability observed,Medium,1.92,vibration,1.54,0.92,0.47,Cooling system degradation,Verify shaft balancing and alignment,Open
164,model1_22,comp2,2,Hydraulic,Unstable hydraulic behavior identified during operation,Medium,1.77,pressure,0.6,1.1,0.32,Pressure leakage,Verify hydraulic pump condition,Open
165,model1_22,comp4,2,Automation,PLC communication instability observed,Medium,1.83,rotation,0.39,0.07,1.1,Electrical synchronization issue,Inspect rotational control subsystem,Open
166,model1_22,comp3,2,Thermal,Moderate thermal instability observed,Medium,1.68,rotation,0.43,0.5,1.77,Thermal overload,Verify rotational sensor consistency,Open
167,model1_22,comp2,4,Hydraulic,Critical hydraulic pressure instability detected,Critical,5.6,pressure,0.18,2.86,2.21,Hydraulic valve degradation,Check valve stability,Open
168,model1_22,comp1,2,Mechanical,High spindle vibration level identified,High,2.82,pressure,0.45,1.32,1.31,Bearing wear,Verify hydraulic pump condition,Open
169,model1_22,comp3,1,Thermal,Minor thermal deviation detected on motor unit,Low,0.74,vibration,0.25,0.88,0.29,Thermal overload,Verify shaft balancing and alignment,Open
